metadata,Citation,URL,Number of Data Points
coleoptera_Seibold_et_al_2014,"Seibold, S., Brandl, R., Buse, J., Hothorn, T., Schmidl, J., Thorn, S., & MÅller, J. (2015). Association of extinction risk of saproxylic beetles with ecological degradation of forests in Europe. Conservation Biology, 29(2), 382?390. ",https://doi.org/10.1111/cobi.12427,416
coleoptera_Tseng_and_Pari_2019,"Tseng, M., & Pari, S. S. (2019). Body size explains interspecific variation in size?latitude relationships in geographically widespread beetle species. ",https://www.doi.org/10.1111/een.12684,17
collembola_Ulrich_and_Fiera_2010,"Ulrich, W., & Fiera, C. (2010). Environmental correlates of body size distributions of European springtails (Hexapoda: Collembola). Global Ecology and Biogeography, 19(6), 905?915. ",https://doi.org/10.1111/j.1466-8238.2010.00565.x,46
coreidae_Emberts_et_al_2020,"Emberts, Z., Miller, C. W., Skojec, C., Shepherd, R., & St. Mary, C. M. (2020). Leaf-footed bugs possess multiple hidden contrasting color signals, but only one is associated with increased body size. Ecology and Evolution, 10(16), 8571?8578. ",https://doi.org/10.1002/ece3.6468,18
culicidae_Nasci_1990,"Nasci, R. S. (1990). Relationship of wing length to adult dry weight in several mosquito species (Diptera: Culicidae). Journal of Medical Entomology, 27(4), 716?719. ",https://doi.org/10.1093/jmedent/27.4.716,7
diplopoda_manual_addition_unpublished,"Hennan, D. (n.d.). Unpublished data on chilopoda and diplopoda.",NA,31
diptera_Belyaev_and_Farisenkov_2019,"Belyaev, O., & Farisenkov, S. (2019). A Study on Allometry of Wing Shape and Venation in Insects. Part 2. Diptera. Moscow University Biological Sciences Bulletin, 74, 7?14. ",https://doi.org/10.3103/S0096392519010024,137
dytiscidae_Pallares_et_al_2019,"PallarÇs, S., Lai, M., Abell†n, P., Ribera, I., & S†nchez-Fern†ndez, D. (2019). An interspecific test of Bergmann?s rule reveals inconsistent body size patterns across several lineages of water beetles (Coleoptera: Dytiscidae). Ecological Entomology, 44(2), 249?254. ",https://doi.org/10.1111/een.12701,18
dytiscidae_Vamosi_and_Vamosi_2007,"Vamosi, J. C., & Vamosi, S. M. (2007). Body size, rarity, and phylogenetic community structure: Insights from diving beetle assemblages of Alberta. Diversity and Distributions, 13(1), 1?10. ",https://doi.org/10.1111/j.1472-4642.2006.00299.x,6
echinodermata_Montgomery_and_Palmer_2012,"Montgomery, E. M., & Palmer, A. R. (2012). Effects of body size and shape on locomotion in the bat star (Patiria miniata). The Biological Bulletin, 222(3), 222?232. ",https://doi.org/10.1086/BBLv222n3p222,16
elasmobranchii_Nielsen_et_al_2020,"Nielsen, R. O., da Silva, R., Juergens, J., Staerk, J., S?rensen, L. L., Jackson, J., Smeele, S. Q., & Conde, D. A. (2020). Standardized data to support conservation prioritization for sharks and batoids (Elasmobranchii). Data in Brief, 33, 106337. ",https://doi.org/10.1016/j.dib.2020.106337,72
erebidae_Kang_et_al_2017,"Kang, C., Zahiri, R., & Sherratt, T. N. (2017). Body size affects the evolution of hidden colour signals in moths. Proceedings of the Royal Society B: Biological Sciences, 284(1861), 20171287. ",https://doi.org/10.1098/rspb.2017.1287,129
eumenidae_Gathmann_et_al_1994,"Gathmann, A., Greiler, H.-J., & Tscharntke, T. (1994). Trap-nesting bees and wasps colonizing set-aside fields: Succession and body size, management by cutting and sowing. Oecologia, 98, 8?14. ",https://doi.org/10.1007/BF00326084,21
eumenidae_Miller_and_Sheehan_2021,"Miller, S. E., & Sheehan, M. J. (2021). Ecogeographical patterns of body size differ among North American paper wasp species. Insectes Sociaux, 68, 109?122. ",https://doi.org/10.1007/s00040-020-00796-z,31
formicidae_Brassard_et_al_2020,"Brassard, F., Francoeur, A., & Lessard, J.-P. (2020). Temperature drives caste-specific morphological clines in ants. Journal of Animal Ecology, 89(11), 2517?2530. ",https://doi.org/10.1111/1365-2656.13330,5
formicidae_Cushman_et_al_1993,"Cushman, J. H., Lawton, J. H., & Manly, B. F. (1993). Latitudinal patterns in European ant assemblages: Variation in species richness and body size. Oecologia, 95, 30?37. ",https://doi.org/10.1007/BF00649503,40
formicidae_Geraghty_et_al_2007,"Geraghty, M. J., Dunn, R., & Sanders, N. J. (2007). Body size, colony size, and range size in ants (Hymenoptera: Formicidae): Are patterns along elevational and latitudinal gradients consistent with Bergmann?s rule. Myrmecological News, 10(September), 51?58.",https://www.researchgate.net/profile/Robert-Dunn-12/publication/252381989_Body_size_colony_size_and_range_size_in_ants_Hymenoptera_Formicidae_are_pat-_terns_along_elevational_and_latitudinal_gradients_consistent_with_Bergmann's_Rule/links/55db584208aed6a199ac5dc7/Body-size-colony-size-and-range-size-in-ants-Hymenoptera-Formicidae-are-pat-terns-along-elevational-and-latitudinal-gradients-consistent-with-Bergmanns-Rule.pdf,13
formicidae_Greve_et_al_2019,"GrevÇ, M. E., Bl†ha, S., Teuber, J., Rothmaier, M., & Feldhaar, H. (2019). The effect of ground surface rugosity on ant running speed is species-specific rather than size dependent. Insectes Sociaux, 66, 355?364. ",https://doi.org/10.1007/s00040-019-00694-z,10
formicidae_Oberg_et_al_2012,"Oberg, E., Del Toro, I., & Pelini, S. (2012). Characterization of the thermal tolerances of forest ants of New England. Insectes Sociaux, 59, 167?174. ",https://doi.org/10.1007/s00040-011-0201-y,9
formicidae_Parr_et_al_2017,"Parr, C. L., Dunn, R. R., Sanders, N. J., Weiser, M. D., Photakis, M., Bishop, T. R., Fitzpatrick, M. C., Arnan, X., Baccaro, F., Brand?o, C. R., & others. (2017). GlobalAnts: A new database on the geography of ant traits (Hymenoptera: Formicidae). Insect Conservation and Diversity, 10(1), 5?20. ",https://doi.org/10.1111/icad.12211,58
formicidae_Spicer_et_al_2017,"Spicer, M. E., Stark, A. Y., Adams, B. J., Kneale, R., Kaspari, M., & Yanoviak, S. P. (2017). Thermal constraints on foraging of tropical canopy ants. Oecologia, 183, 1007?1017. ",https://doi.org/10.1007/s00442-017-3825-4,5
formicidae_Warburg_et_al_2017,"Warburg, I., Whitford, W. G., & Steinberger, Y. (2017). Colony size and foraging strategies in desert seed harvester ants. Journal of Arid Environments, 145, 18?23. ",https://doi.org/10.1016/j.jaridenv.2017.04.016,7
fulgoridae_Burrows_et_al_2021,"Burrows, M., Ghosh, A., Sutton, G., Yeshwanth, H., Rogers, S., & Sane, S. (2021). Jumping in lantern bugs (Hemiptera, Fulgoridae). Journal of Experimental Biology, 224(23), jeb243361. ",https://doi.org/10.1242/jeb.243361,1
gastropoda_Hausdorf_2003,"Hausdorf, B. (2003). Latitudinal and altitudinal body size variation among north-west European land snail species. Global Ecology and Biogeography, 12(5), 389?394. ",https://doi.org/10.1046/j.1466-822X.2003.00050.x,150
gastropoda_Hausdorf_2006,"Hausdorf, B. (2006). Is the interspecific variation of body size of land snails correlated with rainfall in Israel and Palestine? Acta Oecologica, 30(3), 374?379.",https://doi.org/10.1016/j.actao.2006.06.009,17
gastropoda_Neubauer_et_al_2016,"Neubauer, T. A., Georgopoulou, E., Harzhauser, M., Mandic, O., & Kroh, A. (2016). Predictors of shell size in long-lived lake gastropods. Journal of Biogeography, 43(10), 2062?2074. ",https://doi.org/10.1111/jbi.12777,53
geometridae_Seifert_et_al_2022,"Seifert, C. L., Strutzenberger, P., Hausmann, A., & Fiedler, K. (2022). Dietary specialization mirrors Rapoport?s rule in European geometrid moths. Global Ecology and Biogeography, 31(6), 1161?1171. ",https://doi.org/10.1111/geb.13493,617
hemiptera_Crumiere_et_al_2016,"Crumiere, A. J., Santos, M. E., SÇmon, M., ArmisÇn, D., Moreira, F. F., & Khila, A. (2016). Diversity in morphology and locomotory behavior is associated with niche expansion in the semi-aquatic bugs. Current Biology, 26(24), 3336?3342. ",https://doi.org/10.1016/j.cub.2016.09.061,8
holocephali_manual_addition_unpublished,FishBase. (n.d.). Global Fish Database. ,https://www.fishbase.se/search.php,7
holothuroidea_manual_addition_unpublished,"Purcell, S. W., Yves, S., & Conand, C. (n.d.). Commercially important sea cucumbers of the world. ",https://www.fao.org/3/i1918e/i1918e.pdf,3
hymenoptera_Belyaev_and_Farisenkov_2018,"Belyaev, O., & Farisenkov, S. (2018). A study on allometry of wing shape and venation in insects. Part 1. Hymenoptera. Moscow University Biological Sciences Bulletin, 73, 229?235. ",https://doi.org/10.3103/S0096392518040028,53
hymenoptera_Bishop_and_Armbruster_1999,"Bishop, J., & Armbruster, W. (1999). Thermoregulatory abilities of Alaskan bees: Effects of size, phylogeny and ecology. Functional Ecology, 13(5), 711?724. ",https://doi.org/10.1046/j.1365-2435.1999.00351.x,1
hymenoptera_Borges_et_al_2020,"Borges, R. C., Padovani, K., Imperatriz-Fonseca, V. L., & Giannini, T. C. (2020). A dataset of multi-functional ecological traits of Brazilian bees. Scientific Data, 7(1), 120. ",https://doi.org/10.1038/s41597-020-0461-3,31
hymenoptera_Bullock_1999,"Bullock, S. H. (1999). Relationships among body size, wing size and mass in bees from a tropical dry forest in Mexico. Journal of the Kansas Entomological Society, 426?439.",https://www.jstor.org/stable/25085929,41
hymenoptera_Cariveau_et_al_2016,"Cariveau, D. P., Nayak, G. K., Bartomeus, I., Zientek, J., Ascher, J. S., Gibbs, J., & Winfree, R. (2016). The allometry of bee proboscis length and its uses in ecology. PloS One, 11(3), e0151482. ",https://doi.org/10.1371/journal.pone.0151482,175
hymenoptera_Castillo_et_al_2015,"Cueva del Castillo, R., Sanabria-Urb†n, S., & Serrano-Meneses, M. A. (2015). Trade-offs in the evolution of bumblebee colony and body size: A comparative analysis. Ecology and Evolution, 5(18), 3914?3926. ",https://doi.org/10.1002/ece3.1659,18
hymenoptera_Chole_et_al_2019,"Chole, H., Woodard, S. H., & Bloch, G. (2019). Body size variation in bees: Regulation, mechanisms, and relationship to social organization. Current Opinion in Insect Science, 35, 77?87. ",https://doi.org/10.1016/j.cois.2019.07.006,100
hymenoptera_Danforth_1989,"Danforth, B. N. (1989). The evolution of hymenopteran wings: The importance of size. Journal of Zoology, 218(2), 247?276. ",https://doi.org/10.1111/j.1469-7998.1989.tb02536.x,31
hymenoptera_DeLuca_et_al_2019,"De Luca, P. A., Buchmann, S., Galen, C., Mason, A. C., & Vallejo-Mar°n, M. (2019). Does body size predict the buzz-pollination frequencies used by bees? Ecology and Evolution, 9(8), 4875?4887. ",https://doi.org/10.1002/ece3.5092,24
hymenoptera_Forrest_et_al_2015,"Forrest, J. R., Thorp, R. W., Kremen, C., & Williams, N. M. (2015). Contrasting patterns in species and functional-trait diversity of bees in an agricultural landscape. Journal of Applied Ecology, 52(3), 706?715. ",https://doi.org/10.1111/1365-2664.12433,41
hymenoptera_Garcia_and_Sarmiento_2012,"Garc°a, Z., & Sarmiento, C. E. (2012). Relationship between body size and flying-related structures in Neotropical social wasps (Polistinae, Vespidae, Hymenoptera). Zoomorphology, 131, 25?35. ",https://doi.org/10.1007/s00435-011-0142-z,3
hymenoptera_Gerard_et_al_2018,"GÇrard, M., Vanderplanck, M., Franzen, M., Kuhlmann, M., Potts, S. G., Rasmont, P., Schweiger, O., & Michez, D. (2018). Patterns of size variation in bees at a continental scale: Does Bergmann?s rule apply? Oikos, 127(8), 1095?1103. ",https://doi.org/10.1111/oik.05260,255
hymenoptera_Godfrey_et_al_2021,"Godfrey, R. K., Swartzlander, M., & Gronenberg, W. (2021). Allometric analysis of brain cell number in Hymenoptera suggests ant brains diverge from general trends. Proceedings of the Royal Society B, 288(1947), 20210199. ",https://doi.org/10.1098/rspb.2021.0199,47
